period,dimension,org_level,org_code,org_name,measure1,count_of,value
2019-20,APGARSCORE5TERMGROUP7,ALL SUBMITTERS,ALL,ALL SUBMITTERS,0 to 6,babies,1450
2019-20,APGARSCORE5TERMGROUP7,ALL SUBMITTERS,ALL,ALL SUBMITTERS,7 to 10,babies,102830
2019-20,APGARSCORE5TERMGROUP7,ALL SUBMITTERS,ALL,ALL SUBMITTERS,Missing Value / Value outside reporting parameters,babies,252455
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,R0B,South Tyneside and Sunderland FT,0 to 6,babies,60
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,R0B,South Tyneside and Sunderland FT,7 to 10,babies,2800
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,R0B,South Tyneside and Sunderland FT,Missing Value / Value outside reporting parameters,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,R1F,Isle of Wight NHS Trust,Missing Value / Value outside reporting parameters,babies,825
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,R1H,Barts Health NHS Trust,Missing Value / Value outside reporting parameters,babies,7400
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,R1K,London North West University Healthcare NHS Trust,0 to 6,babies,30
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,R1K,London North West University Healthcare NHS Trust,7 to 10,babies,4180
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,R1K,London North West University Healthcare NHS Trust,Missing Value / Value outside reporting parameters,babies,30
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RA2,Royal Surrey County Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2300
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RA9,Torbay and South Devon NHS Foundation Trust,0 to 6,babies,30
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RA9,Torbay and South Devon NHS Foundation Trust,7 to 10,babies,905
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,4030
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RAJ,Mid and South Essex NHS Foundation Trust,0 to 6,babies,10
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RAJ,Mid and South Essex NHS Foundation Trust,7 to 10,babies,975
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RAJ,Mid and South Essex NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2350
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RAL,Royal Free London NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1360
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RAS,The Hillingdon Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3380
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RBD,Dorset County Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1510
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RBK,Walsall Healthcare NHS Trust,Missing Value / Value outside reporting parameters,babies,2740
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RBL,Wirral University Teaching Hospital NHS Foundation Trust,0 to 6,babies,15
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RBL,Wirral University Teaching Hospital NHS Foundation Trust,7 to 10,babies,2600
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,140
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RBZ,Northern Devon Healthcare NHS Trust,Missing Value / Value outside reporting parameters,babies,1230
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RC1,Bedford Hospital NHS Trust,0 to 6,babies,35
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RC1,Bedford Hospital NHS Trust,7 to 10,babies,2565
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RC1,Bedford Hospital NHS Trust,Missing Value / Value outside reporting parameters,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RC9,Bedfordshire Hospitals NHS Foundation Trust,0 to 6,babies,45
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RC9,Bedfordshire Hospitals NHS Foundation Trust,7 to 10,babies,4580
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RC9,Bedfordshire Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,15
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RCB,York Teaching Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1250
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RCD,Harrogate and District NHS Foundation Trust,0 to 6,babies,20
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RCD,Harrogate and District NHS Foundation Trust,7 to 10,babies,1060
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RCD,Harrogate and District NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RCF,Airedale NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1355
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RCX,"The Queen Elizabeth Hospital, Kings Lynn  NHS Foundation Trust",Missing Value / Value outside reporting parameters,babies,1810
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RD1,Royal United Hospitals Bath NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2500
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RD3,Poole Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3700
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RDE,East Suffolk and North Essex NHS Foundation Trust,0 to 6,babies,40
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RDE,East Suffolk and North Essex NHS Foundation Trust,7 to 10,babies,2810
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RDE,East Suffolk and North Essex NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,805
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RDU,Frimley Health NHS Foundation Trust,0 to 6,babies,80
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RDU,Frimley Health NHS Foundation Trust,7 to 10,babies,8340
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RDU,Frimley Health NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,30
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,220
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,REF,Royal Cornwall Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,3630
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,REP,Liverpool Womens NHS Foundation Trust,0 to 6,babies,105
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,REP,Liverpool Womens NHS Foundation Trust,7 to 10,babies,6240
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,REP,Liverpool Womens NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,760
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Missing Value / Value outside reporting parameters,babies,6305
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RFF,Barnsley Hospital NHS Foundation Trust,0 to 6,babies,40
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RFF,Barnsley Hospital NHS Foundation Trust,7 to 10,babies,2180
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RFF,Barnsley Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,140
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RFR,The Rotherham NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1475
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RFS,Chesterfield Royal Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2405
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RGP,James Paget University Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1570
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RGR,West Suffolk NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2040
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RGT,Cambridge University Hospitals NHS Foundation Trust,0 to 6,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RGT,Cambridge University Hospitals NHS Foundation Trust,7 to 10,babies,1360
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RGT,Cambridge University Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,60
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RH8,Royal Devon and Exeter NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3300
