Period,Dimension,Org_Level,Org_Code,Org_Name,Measure,Count_Of,Value
2020-21,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,Under 20,Deliveries,16085
2020-21,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,20 to 24,Deliveries,67810
2020-21,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,25 to 29,Deliveries,137800
2020-21,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,30 to 34,Deliveries,160665
2020-21,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,35 to 39,Deliveries,82655
2020-21,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,40 to 44,Deliveries,16305
2020-21,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,45 or Over,Deliveries,1190
2020-21,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,Missing value / Value outside reporting parameters,Deliveries,5
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,Under 20,Deliveries,1760
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,20 to 24,Deliveries,9950
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,25 to 29,Deliveries,22480
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,30 to 34,Deliveries,34945
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,35 to 39,Deliveries,21630
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,40 to 44,Deliveries,4840
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,45 or Over,Deliveries,445
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,5
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,Under 20,Deliveries,1250
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,20 to 24,Deliveries,5655
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,25 to 29,Deliveries,11935
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,30 to 34,Deliveries,13905
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,35 to 39,Deliveries,6915
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,40 to 44,Deliveries,1285
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,45 or Over,Deliveries,80
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,Under 20,Deliveries,2030
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,20 to 24,Deliveries,8875
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,25 to 29,Deliveries,19845
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,30 to 34,Deliveries,25345
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,35 to 39,Deliveries,13420
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,40 to 44,Deliveries,2560
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,45 or Over,Deliveries,175
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,Under 20,Deliveries,3420
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,20 to 24,Deliveries,14055
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,25 to 29,Deliveries,26690
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,30 to 34,Deliveries,26325
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,35 to 39,Deliveries,12320
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,40 to 44,Deliveries,2340
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,45 or Over,Deliveries,160
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,Under 20,Deliveries,1690
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,20 to 24,Deliveries,7210
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,25 to 29,Deliveries,15865
