Period,Dimension,Org_Level,Org_Code,Org_Name,Measure,Count_Of,Value
2022-23,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,Under 20,Deliveries,17135
2022-23,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,20 to 24,Deliveries,70865
2022-23,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,25 to 29,Deliveries,146955
2022-23,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,30 to 34,Deliveries,180110
2022-23,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,35 to 39,Deliveries,94830
2022-23,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,40 to 44,Deliveries,19475
2022-23,AgeAtBookingMotherGroup,National,National,ALL SUBMITTERS,45 or Over,Deliveries,1625
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,Under 20,Deliveries,1765
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,20 to 24,Deliveries,10640
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,25 to 29,Deliveries,23800
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,30 to 34,Deliveries,36500
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,35 to 39,Deliveries,24455
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,40 to 44,Deliveries,5635
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y56,LONDON COMMISSIONING REGION,45 or Over,Deliveries,620
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,Under 20,Deliveries,1425
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,20 to 24,Deliveries,5830
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,25 to 29,Deliveries,12500
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,30 to 34,Deliveries,16170
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,35 to 39,Deliveries,7865
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,40 to 44,Deliveries,1555
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y58,SOUTH WEST COMMISSIONING REGION,45 or Over,Deliveries,110
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,Under 20,Deliveries,2185
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,20 to 24,Deliveries,9205
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,25 to 29,Deliveries,20900
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,30 to 34,Deliveries,28405
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,35 to 39,Deliveries,15135
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,40 to 44,Deliveries,3070
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y59,SOUTH EAST COMMISSIONING REGION,45 or Over,Deliveries,245
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,Under 20,Deliveries,3745
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,20 to 24,Deliveries,14980
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,25 to 29,Deliveries,29205
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,30 to 34,Deliveries,30970
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,35 to 39,Deliveries,14700
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,40 to 44,Deliveries,2930
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y60,MIDLANDS COMMISSIONING REGION,45 or Over,Deliveries,235
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,Under 20,Deliveries,1735
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,20 to 24,Deliveries,7425
2022-23,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,25 to 29,Deliveries,16835
